"N","sim","alpha","e","P","seed","rownum","intercept","beta","y_var","R","b","e_alpha"
25000,104,0.25,1,250,20089,311,1,3,1000,100,100,1
50000,104,0.25,1,500,40842,312,1,3,1000,100,100,1
10000,105,0.25,1,100,44707,313,1,3,1000,100,100,1
25000,105,0.25,1,250,38697,314,1,3,1000,100,100,1
50000,105,0.25,1,500,39582,315,1,3,1000,100,100,1
10000,106,0.25,1,100,87879,316,1,3,1000,100,100,1
25000,106,0.25,1,250,40635,317,1,3,1000,100,100,1
50000,106,0.25,1,500,16419,318,1,3,1000,100,100,1
10000,107,0.25,1,100,77720,319,1,3,1000,100,100,1
25000,107,0.25,1,250,51800,320,1,3,1000,100,100,1
50000,107,0.25,1,500,46624,321,1,3,1000,100,100,1
10000,108,0.25,1,100,9189,322,1,3,1000,100,100,1
25000,108,0.25,1,250,6658,323,1,3,1000,100,100,1
50000,108,0.25,1,500,32892,324,1,3,1000,100,100,1
10000,109,0.25,1,100,17392,325,1,3,1000,100,100,1
25000,109,0.25,1,250,12324,326,1,3,1000,100,100,1
50000,109,0.25,1,500,93082,327,1,3,1000,100,100,1
10000,110,0.25,1,100,21923,328,1,3,1000,100,100,1
25000,110,0.25,1,250,7375,329,1,3,1000,100,100,1
50000,110,0.25,1,500,62994,330,1,3,1000,100,100,1
10000,111,0.25,1,100,72810,331,1,3,1000,100,100,1
25000,111,0.25,1,250,31539,332,1,3,1000,100,100,1
50000,111,0.25,1,500,91585,333,1,3,1000,100,100,1
10000,112,0.25,1,100,85858,334,1,3,1000,100,100,1
25000,112,0.25,1,250,14661,335,1,3,1000,100,100,1
50000,112,0.25,1,500,41706,336,1,3,1000,100,100,1
10000,113,0.25,1,100,75402,337,1,3,1000,100,100,1
25000,113,0.25,1,250,54348,338,1,3,1000,100,100,1
50000,113,0.25,1,500,62754,339,1,3,1000,100,100,1
10000,114,0.25,1,100,51859,340,1,3,1000,100,100,1
25000,114,0.25,1,250,14784,341,1,3,1000,100,100,1
